"datetime","demand_fcast","demand","tempsim"
"216",2020-01-09 23:30:00,5.095641661101,5.273,20.6004661562429
"217",2020-01-10 00:30:00,4.80647429283133,4.842,21.0420633741653
"218",2020-01-10 01:30:00,4.48132132545932,4.581,22.197065477745
"219",2020-01-10 02:30:00,4.31273772342116,4.467,20.5888607567956
"220",2020-01-10 03:30:00,4.14623288555167,4.443,20.5078096269655
"221",2020-01-10 04:30:00,4.22067655848168,4.48,25.0223737205559
"222",2020-01-10 05:30:00,4.35975782025961,4.654,17.3494027632804
"223",2020-01-10 06:30:00,4.67722922238905,5.177,19.5442372413474
"224",2020-01-10 07:30:00,5.10126413014036,5.768,21.2088923650593
"225",2020-01-10 08:30:00,5.54026953081068,6.133,23.3740545042147
"226",2020-01-10 09:30:00,5.855178959886,6.195,22.2546950498233
"227",2020-01-10 10:30:00,5.90453569744762,5.966,22.799469236354
"228",2020-01-10 11:30:00,5.81136267011802,5.746,18.9125554300598
"229",2020-01-10 12:30:00,5.56883257536436,5.511,19.6910666630021
"230",2020-01-10 13:30:00,5.45591398520669,5.412,19.2649410513584
"231",2020-01-10 14:30:00,5.2964633240665,5.333,18.5512984607171
"232",2020-01-10 15:30:00,5.29364132447587,5.334,18.4417388980663
"233",2020-01-10 16:30:00,5.4919116654181,5.44,22.7741460843139
"234",2020-01-10 17:30:00,6.06411667733342,5.832,20.6596966846958
"235",2020-01-10 18:30:00,6.33392186819686,6.177,19.0970421296149
"236",2020-01-10 19:30:00,5.83957093480516,6.125,21.7680785596572
"237",2020-01-10 20:30:00,5.71838347687192,5.882,22.594536326716
"238",2020-01-10 21:30:00,5.38925348501561,5.626,21.0922435935881
"239",2020-01-10 22:30:00,5.24870029914148,5.385,20.9774473024622
"240",2020-01-10 23:30:00,5.04288385489433,5.065,19.2575791029141
"241",2020-01-11 00:30:00,4.75370230623591,4.731,23.535159391145
"242",2020-01-11 01:30:00,4.46467452379245,4.479,21.8210872730381
"243",2020-01-11 02:30:00,4.25694376166428,4.353,18.7657846632685
"244",2020-01-11 03:30:00,4.08698847750928,4.294,18.6886137270229
"245",2020-01-11 04:30:00,4.12605435125305,4.31,23.4555907492655
"246",2020-01-11 05:30:00,4.16958053827394,4.359,19.402354629809
"247",2020-01-11 06:30:00,4.2473571087139,4.542,19.0251605715999
"248",2020-01-11 07:30:00,4.51541360141017,4.827,21.3370431284591
"249",2020-01-11 08:30:00,5.01376661173796,5.299,21.6653544087635
"250",2020-01-11 09:30:00,5.46404963274246,5.587,19.3685987610464
"251",2020-01-11 10:30:00,5.4709525622094,5.515,16.108422407162
"252",2020-01-11 11:30:00,5.29228567372979,5.363,20.1893089962407
"253",2020-01-11 12:30:00,5.09688164389279,5.3,21.1054847347639
